,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,release_year_outlier
100,80192445,1,Heroin(e),Elaine McMillion Sheldon,2,"September 12, 2017",2017,3,40 min,Documentaries,False
101,80158670,1,Jeff Dunham: Relative Disaster,Michael Simon,2,"September 12, 2017",2017,4,71 min,Stand-Up Comedy,False
102,80223685,2,Daniel Sloss: Live Shows,,2,"September 11, 2018",2018,4,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",False
103,70130445,1,Eat Pray Love,Ryan Murphy,2,"September 10, 2019",2010,3,140 min,"Dramas, Romantic Movies",False
104,80991570,1,"My Teacher, My Obsession",Damián Romay,2,"September 10, 2018",2018,3,86 min,Thrillers,False
105,80184129,1,68 Kill,Trent Haaga,2,"September 1, 2019",2017,4,96 min,"Comedies, Independent Movies, Thrillers",False
106,1151375,1,Dante's Peak,Roger Donaldson,2,"September 1, 2019",2012,3,108 min,Action & Adventure,True
107,81031008,1,For the Birds,Richard Miron,2,"September 1, 2019",2018,4,93 min,Documentaries,False
108,70056433,1,Mr. Woodcock,Craig Gillespie,2,"September 1, 2019",2007,3,88 min,Comedies,False
109,70113003,1,My Sister's Keeper,Nick Cassavetes,2,"September 1, 2019",2009,3,109 min,Dramas,False
110,70043308,1,Open Season,"Roger Allers, Jill Culton",2,"September 1, 2019",2006,2,86 min,"Children & Family Movies, Comedies",False
111,70044697,1,Poseidon,Wolfgang Petersen,2,"September 1, 2019",2006,3,98 min,"Action & Adventure, Dramas",False
112,70105368,1,Rachel Getting Married,Jonathan Demme,2,"September 1, 2019",2008,4,113 min,"Dramas, Independent Movies",False
113,81141689,1,Spookley the Square Pumpkin,Bernie Denk,2,"September 1, 2019",2012,1,47 min,Children & Family Movies,True
114,1008581,1,Stripes,Ivan Reitman,2,"September 1, 2019",2012,4,106 min,"Classic Movies, Comedies, Cult Movies",True
115,70058023,1,Superbad,Greg Mottola,2,"September 1, 2019",2007,4,113 min,"Comedies, Cult Movies",False
116,70043303,1,The Lake House,Alejandro Agresti,2,"September 1, 2019",2006,2,98 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy",False
117,1153194,1,The Saint,Phillip Noyce,2,"September 1, 2019",2012,3,116 min,"Action & Adventure, Romantic Movies",True
118,70024088,1,Brick,Rian Johnson,2,"September 1, 2018",2012,4,110 min,"Independent Movies, Thrillers",True
119,80082969,1,Delirium,Dennis Iliadis,2,"September 1, 2018",2018,4,96 min,"Horror Movies, Thrillers",False
120,81005314,1,Sparring,Samuel Jouy,1,"September 1, 2018",2017,3,94 min,"Dramas, International Movies, Sports Movies",False
121,80242828,1,Stephanie,Akiva Goldsman,2,"September 1, 2018",2017,4,86 min,Horror Movies,False
122,81004223,1,Terrifier,Damien Leone,2,"September 1, 2018",2017,4,84 min,"Horror Movies, Independent Movies, Thrillers",False
123,80198730,1,The Keeping Hours,Karen Moncrieff,2,"September 1, 2018",2017,3,95 min,"Dramas, Thrillers",False
124,17672040,1,The River Wild,Curtis Hanson,2,"September 1, 2018",2012,3,111 min,Action & Adventure,True
125,70068739,1,Brother's Shadow,Todd S. Yellin,2,"September 1, 2017",2006,3,90 min,"Dramas, Independent Movies",False
126,70208520,2,High Risk,,2,"September 1, 2017",2012,1,1 Season,"Docuseries, Reality TV",True
127,80139506,1,Little Evil,Eli Craig,2,"September 1, 2017",2017,4,95 min,"Comedies, Horror Movies",False
128,80184055,1,Resurface,"Josh Izenberg, Wynn Padula",2,"September 1, 2017",2017,4,28 min,"Documentaries, Sports Movies",False
129,80160358,1,Rocco,"Thierry Demaizière, Alban Teurlai",1,"September 1, 2017",2016,4,103 min,"Documentaries, International Movies",False
130,60034929,1,She's Gotta Have It,Spike Lee,2,"September 1, 2017",2012,4,84 min,"Classic Movies, Comedies, Independent Movies",True
131,80173269,1,Who the F**k Is That Guy?,Drew Stone,2,"September 1, 2017",2017,4,78 min,"Documentaries, LGBTQ Movies, Music & Musicals",False
132,80244311,1,After,Jenny Gage,2,"October 9, 2019",2019,3,106 min,"Dramas, Romantic Movies",False
133,81183570,1,Home Is Where the Killer Is,Kaila York,2,"October 9, 2019",2019,3,87 min,"Dramas, Thrillers",False
134,80216665,2,Rhythm + Flow,,2,"October 9, 2019",2019,4,1 Season,Reality TV,False
135,80239503,1,Mo Amer: The Vagabond,Stan Lathan,2,"October 9, 2018",2018,4,57 min,Stand-Up Comedy,False
136,80995737,1,Deon Cole: Cole Hearted,Ryan Polito,2,"October 8, 2019",2019,4,70 min,Stand-Up Comedy,False
137,80196216,1,Chris Brown: Welcome to My Life,Andrew Sandler,2,"October 7, 2017",2017,4,80 min,"Documentaries, Music & Musicals",False
138,80091741,1,13TH,Ava DuVernay,2,"October 7, 2016",2016,4,101 min,Documentaries,False
139,80115464,1,Russell Peters: Almost Famous,Dave Higby,2,"October 7, 2016",2016,4,73 min,Stand-Up Comedy,False
140,81017724,1,Seven in Heaven,Chris Eigeman,2,"October 6, 2018",2018,3,94 min,Horror Movies,False
141,80189623,1,The Death and Life of Marsha P. Johnson,David France,2,"October 6, 2017",2017,4,106 min,"Documentaries, LGBTQ Movies",False
142,80168222,1,Private Life,Tamara Jenkins,2,"October 5, 2018",2018,4,124 min,"Comedies, Dramas, Independent Movies",False
143,80237905,1,In the Tall Grass,Vincenzo Natali,0,"October 4, 2019",2019,4,102 min,"Horror Movies, Thrillers",False
144,80117803,2,Raising Dion,,2,"October 4, 2019",2019,2,1 Season,"Kids' TV, TV Action & Adventure, TV Dramas",False
145,70105130,1,The Haunting of Molly Hartley,Mickey Liddell,2,"October 4, 2018",2008,3,85 min,"Horror Movies, Thrillers",False
146,80208273,1,Judah Friedlander: America Is the Greatest Country in the United States,Judah Friedlander,2,"October 31, 2017",2017,4,84 min,Stand-Up Comedy,False
147,80145699,1,The B-Side: Elsa Dorfman's Portrait Photography,Errol Morris,2,"October 31, 2017",2016,4,76 min,Documentaries,False
148,80192097,1,SPF-18,Alex Israel,2,"October 30, 2017",2017,3,75 min,"Dramas, Romantic Movies, Sports Movies",False
149,70185045,1,Forks Over Knives,Lee Fulkerson,2,"October 3, 2019",2011,2,96 min,Documentaries,False
150,80217066,2,Seis Manos,,2,"October 3, 2019",2019,4,1 Season,"Anime Series, Crime TV Shows",False
151,70002129,1,Benji's Very Own Christmas Story,Joe Camp,2,"October 3, 2018",2012,1,25 min,Children & Family Movies,True
152,80218099,1,Truth or Dare,Nick Simon,2,"October 3, 2018",2017,4,88 min,Horror Movies,False
153,80199767,1,Cult of Chucky,Don Mancini,2,"October 3, 2017",2017,4,90 min,Horror Movies,False
154,80191665,1,Rodney Carrington: Here Comes the Truth,Brandon Jones,2,"October 3, 2017",2017,4,66 min,Stand-Up Comedy,False
155,80161921,1,Security,Alain Desrochers,2,"October 3, 2017",2017,4,92 min,Action & Adventure,False
156,81148672,1,Arsenio Hall: Smart & Classy,Brian Volk-Weiss,2,"October 29, 2019",2019,4,63 min,Stand-Up Comedy,False
157,81169914,2,Shine On with Reese,,2,"October 29, 2019",2018,3,1 Season,Docuseries,False
158,81211714,1,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,,2,"October 29, 2019",2019,3,14 min,"Documentaries, International Movies",False
159,80092857,1,Pup Star,Robert Vince,0,"October 29, 2016",2016,1,92 min,"Children & Family Movies, Comedies",False
160,80189954,1,Pup Star: Better 2Gether,Robert Vince,0,"October 28, 2017",2017,2,93 min,"Children & Family Movies, Comedies",False
161,80123740,1,The African Doctor,Julien Rambaldi,1,"October 28, 2016",2016,2,94 min,"Comedies, Dramas, International Movies",False
162,80094260,2,Trailer Park Boys: Out of the Park: Europe,,0,"October 28, 2016",2016,4,1 Season,"International TV Shows, TV Comedies",False
163,80123742,1,West Coast,Benjamin Weill,1,"October 28, 2016",2016,4,81 min,"Comedies, Dramas, International Movies",False
164,81000863,1,14 Cameras,"Scott Hussion, Seth Fuller",2,"October 27, 2018",2018,4,89 min,"Horror Movies, Thrillers",False
165,80197912,2,Beyond Stranger Things,,2,"October 27, 2017",2017,3,1 Season,"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy",False
166,80117454,1,Joan Didion: The Center Will Not Hold,Griffin Dunne,2,"October 27, 2017",2017,3,98 min,Documentaries,False
167,81123469,1,The Last Whistle,Rob Smat,2,"October 26, 2019",2019,2,88 min,"Dramas, Sports Movies",False
168,80173479,1,Strange Weather,Katherine Dieckmann,2,"October 26, 2017",2016,4,91 min,"Dramas, Independent Movies",False
169,81136744,1,Assimilate,John Murlowski,2,"October 25, 2019",2019,3,94 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",False
170,80182014,1,Dolemite Is My Name,Craig Brewer,2,"October 25, 2019",2019,4,118 min,"Comedies, Dramas",False
171,81061828,2,Nailed It! France,,1,"October 25, 2019",2019,3,1 Season,"International TV Shows, Reality TV",False
172,81017316,2,Prank Encounters,,2,"October 25, 2019",2019,4,1 Season,"Reality TV, TV Comedies, TV Horror",False
173,81018455,1,Rattlesnake,Zak Hilditch,2,"October 25, 2019",2019,4,86 min,"Horror Movies, Independent Movies, Thrillers",False
174,70218316,2,DreamWorks Spooky Stories,,2,"October 25, 2018",2009,2,1 Season,"Kids' TV, TV Comedies",False
175,81018183,1,Ronnie Coleman: The King,Vlad Yudin,2,"October 25, 2018",2018,3,93 min,Documentaries,False
176,80064515,1,The Hateful Eight,Quentin Tarantino,2,"October 25, 2017",2015,4,168 min,"Action & Adventure, Thrillers",False
177,80062011,1,Walt Disney Animation Studios Short Films Collection,"Chris Buck, Jennifer Lee, Patrick Osborne, Lauren MacMullan, John Kahrs, Nathan Greno, Byron Howard, Stevie Wermers, Dean Wellins, Kevin Deters, Roger Allers, Mike Gabriel, Mark Henn",2,"October 25, 2015",2015,1,90 min,Children & Family Movies,False
178,80197462,2,Daybreak,,2,"October 24, 2019",2019,4,1 Season,"TV Action & Adventure, TV Comedies, TV Horror",False
179,81034741,1,Echo in the Canyon,Andrew Slater,2,"October 24, 2019",2019,3,82 min,"Documentaries, Music & Musicals",False
180,80135414,2,The Mist,,2,"October 24, 2017",2017,4,1 Season,"TV Dramas, TV Horror, TV Mysteries",False
181,81038022,2,"Breakfast, Lunch & Dinner",,2,"October 23, 2019",2019,4,1 Season,Docuseries,False
182,80186796,1,Dancing with the Birds,Huw Cordey,2,"October 23, 2019",2019,2,52 min,Documentaries,False
183,80224536,1,ADAM SANDLER 100% FRESH,Steve Brill,2,"October 23, 2018",2018,4,74 min,Stand-Up Comedy,False
184,80994444,1,Scorpion King 5: Book of Souls,Don Michael Paul,2,"October 23, 2018",2018,3,102 min,"Action & Adventure, Sci-Fi & Fantasy",False
185,80017286,1,While We're Young,Noah Baumbach,2,"October 23, 2017",2015,4,97 min,"Comedies, Dramas, Independent Movies",False
186,80039050,1,I'll See You in My Dreams,Brett Haley,2,"October 22, 2019",2015,3,96 min,"Comedies, Dramas, Independent Movies",False
187,81027753,1,Jenny Slate: Stage Fright,Gillian Robespierre,2,"October 22, 2019",2019,4,67 min,"Documentaries, Stand-Up Comedy",False
188,15815343,1,The Texas Chainsaw Massacre,Tobe Hooper,2,"October 22, 2019",2012,4,83 min,"Cult Movies, Horror Movies, Independent Movies",True
189,70295176,1,Tracers,Daniel Benmayor,2,"October 22, 2019",2015,3,94 min,Action & Adventure,False
190,80131240,1,God Knows Where I Am,"Jedd Wider, Todd Wider",2,"October 22, 2018",2016,2,103 min,Documentaries,False
191,80038442,1,Results,Andrew Bujalski,2,"October 22, 2015",2015,4,105 min,"Comedies, Independent Movies",False
192,80066079,2,Containment,,2,"October 21, 2016",2016,3,1 Season,"TV Dramas, TV Thrillers",False
193,80117443,1,Joe Rogan: Triggered,Anthony Giordano,2,"October 21, 2016",2016,4,64 min,Stand-Up Comedy,False
194,80010717,1,Wyatt Cenac: Brooklyn,Wyatt Cenac,2,"October 21, 2014",2014,4,68 min,Stand-Up Comedy,False
195,80135164,1,1922,Zak Hilditch,2,"October 20, 2017",2017,4,103 min,"Dramas, Thrillers",False
196,80118101,1,One of Us,"Heidi Ewing, Rachel Grady",2,"October 20, 2017",2017,3,95 min,Documentaries,False
197,80184569,2,The Day I Met El Chapo,,2,"October 20, 2017",2017,4,1 Season,"Crime TV Shows, Docuseries, International TV Shows",False
198,80113669,1,Wheelman,Jeremy Rush,2,"October 20, 2017",2017,4,82 min,Action & Adventure,False
199,81025309,2,Ghost Town Gold,,2,"October 2, 2019",2012,3,1 Season,Reality TV,False
200,81025317,2,License to Drill: Louisiana,,0,"October 2, 2019",2014,2,1 Season,Reality TV,False
201,80209609,2,Living Undocumented,,2,"October 2, 2019",2019,4,1 Season,Docuseries,False
202,81191195,1,Salam - The First ****** Nobel Laureate,Anand Kamalakar,2,"October 2, 2019",2018,2,76 min,Documentaries,False
203,80235999,1,Eric ldle's What About Dick?,"Eric Idle, Aubrey Powell",2,"October 2, 2018",2012,4,81 min,"Comedies, Music & Musicals",False
204,80236356,1,Monty Python: Live at Aspen,,2,"October 2, 2018",2012,4,58 min,"Comedies, Documentaries",True
205,80237311,2,Monty Python's Personal Best,,2,"October 2, 2018",2012,4,1 Season,"British TV Shows, TV Comedies",True
206,80988048,1,The Meaning of Monty Python,Albert Sharpe,2,"October 2, 2018",2013,4,60 min,Documentaries,False
207,80039069,1,Sleeping with Other People,Leslye Headland,2,"October 2, 2017",2015,4,101 min,"Comedies, Dramas, Independent Movies",False
208,80046779,1,Anjelah Johnson: Not Fancy,Jay Karas,2,"October 2, 2015",2015,3,64 min,Stand-Up Comedy,False
209,60001650,1,Men in Black,Barry Sonnenfeld,2,"October 19, 2019",2012,3,98 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",True
210,81025800,2,Accidentally in Love,,2,"October 19, 2018",2018,3,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",False
211,80207486,2,Best.Worst.Weekend.Ever.,,2,"October 19, 2018",2018,2,1 Season,"Kids' TV, TV Comedies",False
212,80171705,1,Wedding Unplanned,Reem Kherici,1,"October 19, 2017",2017,4,94 min,"Comedies, International Movies, Romantic Movies",False
213,80206910,1,Eli,Ciarán Foy,2,"October 18, 2019",2019,4,98 min,Horror Movies,False
214,80178724,2,Living with Yourself,,2,"October 18, 2019",2019,4,1 Season,"TV Comedies, TV Dramas",False
215,80994011,1,The Laundromat,Steven Soderbergh,2,"October 18, 2019",2019,4,96 min,"Comedies, Dramas",False
216,80208910,2,Unnatural Selection,,2,"October 18, 2019",2019,4,1 Season,"Docuseries, Science & Nature TV",False
217,70235768,1,My Babysitter's a Vampire: The Movie,Bruce McDonald,0,"October 17, 2018",2010,2,80 min,"Children & Family Movies, Comedies",False
218,80177406,1,Patton Oswalt: Annihilation,Bobcat Goldthwait,2,"October 17, 2017",2017,4,66 min,Stand-Up Comedy,False
219,81081656,1,Ghosts of Sugar Land,Bassam Tariq,2,"October 16, 2019",2019,4,22 min,Documentaries,False
220,81187847,1,League of Legends Origins,Leslie Iwerks,2,"October 16, 2019",2019,4,78 min,Documentaries,False
221,81157840,1,The Game Changers,Louie Psihoyos,2,"October 16, 2019",2018,4,86 min,"Documentaries, Sports Movies",False
222,80244900,1,"Ron White: If You Quit Listening, I'll Shut Up",Tom Forrest,2,"October 16, 2018",2018,4,63 min,Stand-Up Comedy,False
